timestamp,rmssd,coverage,low_frequency,high_frequency
2023-11-05T02:20:00,41.295,0.876,931.749,276.783
2023-11-05T02:25:00,49.437,0.999,1382.515,539.792
2023-11-05T02:30:00,48.294,0.99,282.42,572.808
2023-11-05T02:35:00,57.158,0.94,2083.286,786.842
2023-11-05T02:40:00,51.745,0.977,219.866,646.311
2023-11-05T02:45:00,46.039,0.995,250.357,534.634
2023-11-05T02:50:00,45.551,0.927,1244.768,600.018
2023-11-05T02:55:00,73.1,0.884,1032.283,849.086
2023-11-05T03:00:00,74.281,0.983,502.154,1583.659
2023-11-05T03:05:00,47.989,1.002,1101.271,420.059
2023-11-05T03:10:00,53.764,1.003,1240.486,903.399
2023-11-05T03:15:00,63.987,0.986,2689.812,1252.417
2023-11-05T03:20:00,61.685,1.007,1488.823,1058.408
2023-11-05T03:25:00,77.319,0.963,782.456,2356.356
2023-11-05T03:30:00,77.533,0.987,376.258,2045.34
2023-11-05T03:35:00,72.215,1.005,322.681,1736.244
2023-11-05T03:40:00,71.618,1.0,501.558,1733.382
2023-11-05T03:45:00,74.944,0.996,1396.537,1613.029
2023-11-05T03:50:00,73.845,1.002,412.592,1583.646
2023-11-05T03:55:00,78.572,0.775,7241.363,1428.69
2023-11-05T04:00:00,69.773,0.99,619.073,1299.887
2023-11-05T04:05:00,68.927,1.004,702.065,1133.113
2023-11-05T04:10:00,69.374,1.003,380.833,1023.845
2023-11-05T04:15:00,95.734,0.839,3987.048,2528.812
2023-11-05T04:20:00,100.56,1.002,1932.165,3078.167
2023-11-05T04:25:00,100.361,0.934,2258.207,3473.536
2023-11-05T04:30:00,76.877,0.971,1400.724,1554.994
2023-11-05T04:35:00,63.899,0.96,4897.414,996.632
2023-11-05T04:40:00,42.692,0.98,3419.895,478.077
2023-11-05T04:45:00,56.21,0.942,5243.221,671.147
2023-11-05T04:50:00,59.1,0.943,1664.005,895.683
2023-11-05T04:55:00,65.277,0.904,4480.567,680.435
2023-11-05T05:00:00,65.079,0.964,1723.53,847.015
2023-11-05T05:05:00,79.263,0.982,1743.75,1750.596
2023-11-05T05:10:00,68.985,0.958,551.902,1223.202
2023-11-05T05:15:00,54.737,0.98,600.419,790.826
2023-11-05T05:20:00,44.474,0.995,818.857,508.184
2023-11-05T05:25:00,45.42,1.004,502.251,526.189
2023-11-05T05:30:00,43.795,0.988,403.774,502.778
2023-11-05T05:35:00,42.764,1.003,342.865,470.484
2023-11-05T05:40:00,43.653,1.002,564.958,549.686
2023-11-05T05:45:00,50.081,0.951,569.596,746.188
2023-11-05T05:50:00,73.982,0.958,3668.951,979.2
2023-11-05T05:55:00,70.556,0.957,4922.778,960.924
2023-11-05T06:00:00,63.095,0.924,3426.614,1258.393
2023-11-05T06:05:00,52.544,0.939,5945.551,709.431
2023-11-05T06:10:00,39.59,0.966,1194.271,362.559
2023-11-05T06:15:00,66.855,0.862,3790.296,913.329
2023-11-05T06:20:00,80.227,0.994,4445.247,1091.392
2023-11-05T06:25:00,70.596,1.003,2189.529,996.716
2023-11-05T06:30:00,59.169,0.923,1210.302,1252.825
2023-11-05T06:35:00,52.615,0.962,2391.27,551.581
2023-11-05T06:40:00,56.433,0.951,4955.652,611.773
2023-11-05T06:45:00,49.557,0.945,3511.662,520.222
2023-11-05T06:50:00,62.902,0.893,3419.675,873.926
2023-11-05T06:55:00,64.201,0.845,2509.259,1300.449
2023-11-05T07:00:00,72.803,0.903,2011.255,1166.019
2023-11-05T07:05:00,75.683,0.856,8297.814,1899.295
2023-11-05T07:10:00,76.84,0.937,2304.639,1773.782
2023-11-05T07:15:00,55.842,0.994,840.838,829.737
2023-11-05T07:20:00,54.08,0.983,883.03,797.292
2023-11-05T07:25:00,49.983,1.005,822.893,728.584
2023-11-05T07:30:00,49.301,0.995,693.448,610.92
2023-11-05T07:35:00,48.323,0.972,578.035,703.265
2023-11-05T07:40:00,67.371,0.907,8729.545,1634.102
2023-11-05T07:45:00,74.106,0.794,5052.577,946.74
2023-11-05T07:50:00,75.492,0.856,7484.282,1631.367
2023-11-05T07:55:00,70.244,0.877,7081.378,1300.919
